Date_of_report,Municipality_code,Municipality_name,Province,Total_reported,Hospital_admission,Deceased
2020-10-05 10:00:00,GM0150,Deventer,Overijssel,628,49,37
2020-10-05 10:00:00,GM0153,Enschede,Overijssel,661,59,26
2020-10-05 10:00:00,GM0158,Haaksbergen,Overijssel,229,15,7
2020-10-05 10:00:00,GM0160,Hardenberg,Overijssel,228,23,10
2020-10-05 10:00:00,GM0163,Hellendoorn,Overijssel,113,8,12
2020-10-05 10:00:00,GM0164,Hengelo,Overijssel,422,29,20
2020-10-05 10:00:00,GM0166,Kampen,Overijssel,457,60,37
2020-10-05 10:00:00,GM0168,Losser,Overijssel,112,11,0
2020-10-05 10:00:00,GM0171,Noordoostpolder,Flevoland,143,17,10
2020-10-05 10:00:00,GM0173,Oldenzaal,Overijssel,168,15,7
2020-10-05 10:00:00,GM0175,Ommen,Overijssel,110,9,4
2020-10-05 10:00:00,GM0177,Raalte,Overijssel,243,24,21
2020-10-05 10:00:00,GM0180,Staphorst,Overijssel,96,8,4
2020-10-05 10:00:00,GM0183,Tubbergen,Overijssel,157,12,5
2020-10-05 10:00:00,GM0184,Urk,Flevoland,94,23,4
2020-10-05 10:00:00,GM0189,Wierden,Overijssel,120,7,6
2020-10-05 10:00:00,GM0193,Zwolle,Overijssel,670,53,49
2020-10-05 10:00:00,GM0197,Aalten,Gelderland,119,9,7
2020-10-05 10:00:00,GM0200,Apeldoorn,Gelderland,881,102,51
2020-10-05 10:00:00,GM0202,Arnhem,Gelderland,959,74,34
2020-10-05 10:00:00,GM0203,Barneveld,Gelderland,264,19,8
2020-10-05 10:00:00,GM0209,Beuningen,Gelderland,196,19,5
2020-10-05 10:00:00,GM0213,Brummen,Gelderland,84,18,6
2020-10-05 10:00:00,GM0214,Buren,Gelderland,105,18,8
2020-10-05 10:00:00,GM0216,Culemborg,Gelderland,223,24,8
2020-10-05 10:00:00,GM0221,Doesburg,Gelderland,65,9,6
2020-10-05 10:00:00,GM0222,Doetinchem,Gelderland,275,27,15
2020-10-05 10:00:00,GM0225,Druten,Gelderland,147,25,8
2020-10-05 10:00:00,GM0226,Duiven,Gelderland,125,14,6
2020-10-05 10:00:00,GM0228,Ede,Gelderland,688,59,23
2020-10-05 10:00:00,GM0230,Elburg,Gelderland,182,28,8
2020-10-05 10:00:00,GM0232,Epe,Gelderland,202,49,23
2020-10-05 10:00:00,GM0233,Ermelo,Gelderland,213,33,23
2020-10-05 10:00:00,GM0243,Harderwijk,Gelderland,358,44,20
2020-10-05 10:00:00,GM0244,Hattem,Gelderland,73,18,5
2020-10-05 10:00:00,GM0246,Heerde,Gelderland,246,55,28
2020-10-05 10:00:00,GM0252,Heumen,Gelderland,172,18,11
2020-10-05 10:00:00,GM0262,Lochem,Gelderland,172,16,15
2020-10-05 10:00:00,GM0263,Maasdriel,Gelderland,119,15,7
2020-10-05 10:00:00,GM0267,Nijkerk,Gelderland,271,22,3
2020-10-05 10:00:00,GM0268,Nijmegen,Gelderland,2016,145,73
2020-10-05 10:00:00,GM0269,Oldebroek,Gelderland,205,40,19
2020-10-05 10:00:00,GM0273,Putten,Gelderland,105,10,1
2020-10-05 10:00:00,GM0274,Renkum,Gelderland,193,14,7
2020-10-05 10:00:00,GM0275,Rheden,Gelderland,234,34,14
2020-10-05 10:00:00,GM0277,Rozendaal,Gelderland,6,1,0
2020-10-05 10:00:00,GM0279,Scherpenzeel,Gelderland,53,4,2
2020-10-05 10:00:00,GM0281,Tiel,Gelderland,295,43,21
2020-10-05 10:00:00,GM0285,Voorst,Gelderland,140,17,11
2020-10-05 10:00:00,GM0289,Wageningen,Gelderland,258,21,9
2020-10-05 10:00:00,GM0293,Westervoort,Gelderland,73,12,6
2020-10-05 10:00:00,GM0294,Winterswijk,Gelderland,89,7,3
2020-10-05 10:00:00,GM0296,Wijchen,Gelderland,318,45,13
2020-10-05 10:00:00,GM0297,Zaltbommel,Gelderland,175,21,9
2020-10-05 10:00:00,GM0299,Zevenaar,Gelderland,237,49,16
2020-10-05 10:00:00,GM0301,Zutphen,Gelderland,191,31,13
2020-10-05 10:00:00,GM0302,Nunspeet,Gelderland,285,57,21
2020-10-05 10:00:00,GM0303,Dronten,Flevoland,173,32,13
2020-10-05 10:00:00,GM0307,Amersfoort,Utrecht,961,78,25
2020-10-05 10:00:00,GM0308,Baarn,Utrecht,138,12,9
2020-10-05 10:00:00,GM0310,De Bilt,Utrecht,364,29,24
2020-10-05 10:00:00,GM0312,Bunnik,Utrecht,103,10,1
2020-10-05 10:00:00,GM0313,Bunschoten,Utrecht,143,12,7
2020-10-05 10:00:00,GM0317,Eemnes,Utrecht,51,2,1
2020-10-05 10:00:00,GM0321,Houten,Utrecht,319,27,15
2020-10-05 10:00:00,GM0327,Leusden,Utrecht,189,9,8
2020-10-05 10:00:00,GM0331,Lopik,Utrecht,142,20,8
2020-10-05 10:00:00,GM0335,Montfoort,Utrecht,115,15,6
2020-10-05 10:00:00,GM0339,Renswoude,Utrecht,30,5,5
2020-10-05 10:00:00,GM0340,Rhenen,Utrecht,83,11,6
2020-10-05 10:00:00,GM0342,Soest,Utrecht,331,24,13
2020-10-05 10:00:00,GM0344,Utrecht,Utrecht,4241,303,122
2020-10-05 10:00:00,GM0345,Veenendaal,Utrecht,424,50,11
2020-10-05 10:00:00,GM0351,Woudenberg,Utrecht,73,10,2
2020-10-05 10:00:00,GM0352,Wijk bij Duurstede,Utrecht,105,10,1
2020-10-05 10:00:00,GM0353,IJsselstein,Utrecht,288,36,35
2020-10-05 10:00:00,GM0355,Zeist,Utrecht,548,38,27
2020-10-05 10:00:00,GM0356,Nieuwegein,Utrecht,430,46,14
2020-10-05 10:00:00,GM0358,Aalsmeer,Noord-Holland,217,10,5
2020-10-05 10:00:00,GM0361,Alkmaar,Noord-Holland,585,57,31
2020-10-05 10:00:00,GM0362,Amstelveen,Noord-Holland,1063,69,41
2020-10-05 10:00:00,GM0363,Amsterdam,Noord-Holland,14903,792,302
2020-10-05 10:00:00,GM0370,Beemster,Noord-Holland,57,4,1
2020-10-05 10:00:00,GM0373,Bergen (NH.),Noord-Holland,234,21,5
2020-10-05 10:00:00,GM0375,Beverwijk,Noord-Holland,272,15,12
2020-10-05 10:00:00,GM0376,Blaricum,Noord-Holland,83,8,2
2020-10-05 10:00:00,GM0377,Bloemendaal,Noord-Holland,181,7,5
2020-10-05 10:00:00,GM0383,Castricum,Noord-Holland,163,16,10
2020-10-05 10:00:00,GM0384,Diemen,Noord-Holland,483,20,14
2020-10-05 10:00:00,GM0385,Edam-Volendam,Noord-Holland,342,28,3
2020-10-05 10:00:00,GM0388,Enkhuizen,Noord-Holland,53,18,4
2020-10-05 10:00:00,GM0392,Haarlem,Noord-Holland,1198,76,62
2020-10-05 10:00:00,GM0394,Haarlemmermeer,Noord-Holland,1255,77,33
2020-10-05 10:00:00,GM0396,Heemskerk,Noord-Holland,209,31,10
2020-10-05 10:00:00,GM0397,Heemstede,Noord-Holland,243,13,33
2020-10-05 10:00:00,GM0398,Heerhugowaard,Noord-Holland,330,27,9
2020-10-05 10:00:00,GM0399,Heiloo,Noord-Holland,90,11,8
2020-10-05 10:00:00,GM0400,Den Helder,Noord-Holland,118,13,2
2020-10-05 10:00:00,GM0402,Hilversum,Noord-Holland,654,37,25
2020-10-05 10:00:00,GM0405,Hoorn,Noord-Holland,347,36,12
2020-10-05 10:00:00,GM0406,Huizen,Noord-Holland,349,24,10
2020-10-05 10:00:00,GM0415,Landsmeer,Noord-Holland,105,3,3
2020-10-05 10:00:00,GM0416,Langedijk,Noord-Holland,160,17,4
2020-10-05 10:00:00,GM0417,Laren,Noord-Holland,94,8,2
2020-10-05 10:00:00,GM0420,Medemblik,Noord-Holland,146,19,6
2020-10-05 10:00:00,GM0431,Oostzaan,Noord-Holland,80,12,2
2020-10-05 10:00:00,GM0432,Opmeer,Noord-Holland,36,1,1
2020-10-05 10:00:00,GM0437,Ouder-Amstel,Noord-Holland,182,6,0
2020-10-05 10:00:00,GM0439,Purmerend,Noord-Holland,532,74,35
2020-10-05 10:00:00,GM0441,Schagen,Noord-Holland,176,19,10
2020-10-05 10:00:00,GM0448,Texel,Noord-Holland,39,5,2
2020-10-05 10:00:00,GM0450,Uitgeest,Noord-Holland,67,5,1
2020-10-05 10:00:00,GM0451,Uithoorn,Noord-Holland,233,18,2
2020-10-05 10:00:00,GM0453,Velsen,Noord-Holland,558,36,42
2020-10-05 10:00:00,GM0457,Weesp,Noord-Holland,275,9,13
2020-10-05 10:00:00,GM0473,Zandvoort,Noord-Holland,124,12,9
2020-10-05 10:00:00,GM0479,Zaanstad,Noord-Holland,1281,133,52
2020-10-05 10:00:00,GM0482,Alblasserdam,Zuid-Holland,189,11,5
2020-10-05 10:00:00,GM0484,Alphen aan den Rijn,Zuid-Holland,821,70,26
2020-10-05 10:00:00,GM0489,Barendrecht,Zuid-Holland,570,40,12
2020-10-05 10:00:00,GM0498,Drechterland,Noord-Holland,84,5,8
2020-10-05 10:00:00,GM0501,Brielle,Zuid-Holland,108,12,0
2020-10-05 10:00:00,GM0502,Capelle aan den IJssel,Zuid-Holland,866,59,61
2020-10-05 10:00:00,GM0503,Delft,Zuid-Holland,1132,41,12
2020-10-05 10:00:00,GM0505,Dordrecht,Zuid-Holland,1163,96,68
2020-10-05 10:00:00,GM0512,Gorinchem,Zuid-Holland,343,19,16
2020-10-05 10:00:00,GM0513,Gouda,Zuid-Holland,887,49,43
2020-10-05 10:00:00,GM0518,'s-Gravenhage,Zuid-Holland,8384,456,280
2020-10-05 10:00:00,GM0523,Hardinxveld-Giessendam,Zuid-Holland,94,2,2
2020-10-05 10:00:00,GM0530,Hellevoetsluis,Zuid-Holland,271,16,5
2020-10-05 10:00:00,GM0531,Hendrik-Ido-Ambacht,Zuid-Holland,287,13,6
2020-10-05 10:00:00,GM0532,Stede Broec,Noord-Holland,86,18,5
2020-10-05 10:00:00,GM0534,Hillegom,Zuid-Holland,168,8,2
2020-10-05 10:00:00,GM0537,Katwijk,Zuid-Holland,514,36,15
2020-10-05 10:00:00,GM0542,Krimpen aan den IJssel,Zuid-Holland,274,12,8
2020-10-05 10:00:00,GM0546,Leiden,Zuid-Holland,1189,47,21
2020-10-05 10:00:00,GM0547,Leiderdorp,Zuid-Holland,143,15,7
2020-10-05 10:00:00,GM0553,Lisse,Zuid-Holland,90,9,2
2020-10-05 10:00:00,GM0556,Maassluis,Zuid-Holland,336,23,9
2020-10-05 10:00:00,GM0569,Nieuwkoop,Zuid-Holland,148,9,6
2020-10-05 10:00:00,GM0575,Noordwijk,Zuid-Holland,277,21,3
2020-10-05 10:00:00,GM0579,Oegstgeest,Zuid-Holland,160,10,3
2020-10-05 10:00:00,GM0589,Oudewater,Utrecht,100,26,9
2020-10-05 10:00:00,GM0590,Papendrecht,Zuid-Holland,193,9,8
2020-10-05 10:00:00,GM0597,Ridderkerk,Zuid-Holland,415,40,18
2020-10-05 10:00:00,GM0599,Rotterdam,Zuid-Holland,11362,662,369
2020-10-05 10:00:00,GM0603,Rijswijk,Zuid-Holland,578,44,26
2020-10-05 10:00:00,GM0606,Schiedam,Zuid-Holland,1064,64,24
2020-10-05 10:00:00,GM0610,Sliedrecht,Zuid-Holland,160,9,5
2020-10-05 10:00:00,GM0613,Albrandswaard,Zuid-Holland,297,16,8
2020-10-05 10:00:00,GM0614,Westvoorne,Zuid-Holland,100,6,0
2020-10-05 10:00:00,GM0622,Vlaardingen,Zuid-Holland,887,49,30
2020-10-05 10:00:00,GM0626,Voorschoten,Zuid-Holland,171,9,11
2020-10-05 10:00:00,GM0627,Waddinxveen,Zuid-Holland,264,19,7
2020-10-05 10:00:00,GM0629,Wassenaar,Zuid-Holland,207,10,12
2020-10-05 10:00:00,GM0632,Woerden,Utrecht,372,53,20
2020-10-05 10:00:00,GM0637,Zoetermeer,Zuid-Holland,1103,59,14
2020-10-05 10:00:00,GM0638,Zoeterwoude,Zuid-Holland,49,3,1
2020-10-05 10:00:00,GM0642,Zwijndrecht,Zuid-Holland,444,27,27
2020-10-05 10:00:00,GM0654,Borsele,Zeeland,65,5,1
2020-10-05 10:00:00,GM0664,Goes,Zeeland,236,12,13
2020-10-05 10:00:00,GM0668,West Maas en Waal,Gelderland,133,21,9
2020-10-05 10:00:00,GM0677,Hulst,Zeeland,90,9,5
2020-10-05 10:00:00,GM0678,Kapelle,Zeeland,40,3,1
2020-10-05 10:00:00,GM0687,Middelburg,Zeeland,189,19,10
2020-10-05 10:00:00,GM0703,Reimerswaal,Zeeland,65,5,2
2020-10-05 10:00:00,GM0715,Terneuzen,Zeeland,206,25,4
2020-10-05 10:00:00,GM0716,Tholen,Zeeland,214,40,16
2020-10-05 10:00:00,GM0717,Veere,Zeeland,67,6,2
2020-10-05 10:00:00,GM0718,Vlissingen,Zeeland,146,9,5
2020-10-05 10:00:00,GM0736,De Ronde Venen,Utrecht,355,40,13
2020-10-05 10:00:00,GM0737,Tytsjerksteradiel,Friesland,90,6,1
2020-10-05 10:00:00,GM0743,Asten,Noord-Brabant,110,18,12
2020-10-05 10:00:00,GM0744,Baarle-Nassau,Noord-Brabant,42,9,2
2020-10-05 10:00:00,GM0748,Bergen op Zoom,Noord-Brabant,697,31,13
2020-10-05 10:00:00,GM0753,Best,Noord-Brabant,169,31,10
2020-10-05 10:00:00,GM0755,Boekel,Noord-Brabant,104,34,20
2020-10-05 10:00:00,GM0756,Boxmeer,Noord-Brabant,199,20,27
2020-10-05 10:00:00,GM0757,Boxtel,Noord-Brabant,196,24,26
2020-10-05 10:00:00,GM0758,Breda,Noord-Brabant,1428,153,67
2020-10-05 10:00:00,GM0762,Deurne,Noord-Brabant,303,56,25
2020-10-05 10:00:00,GM0765,Pekela,Groningen,15,4,0
2020-10-05 10:00:00,GM0766,Dongen,Noord-Brabant,155,20,13
2020-10-05 10:00:00,GM0770,Eersel,Noord-Brabant,194,27,10
2020-10-05 10:00:00,GM0772,Eindhoven,Noord-Brabant,1579,185,89
2020-10-05 10:00:00,GM0777,Etten-Leur,Noord-Brabant,349,43,30
2020-10-05 10:00:00,GM0779,Geertruidenberg,Noord-Brabant,99,12,6
2020-10-05 10:00:00,GM0784,Gilze en Rijen,Noord-Brabant,180,20,15
2020-10-05 10:00:00,GM0785,Goirle,Noord-Brabant,210,32,18
2020-10-05 10:00:00,GM0786,Grave,Noord-Brabant,116,21,11
2020-10-05 10:00:00,GM0788,Haaren,Noord-Brabant,95,19,8
2020-10-05 10:00:00,GM0794,Helmond,Noord-Brabant,868,118,44
2020-10-05 10:00:00,GM0796,'s-Hertogenbosch,Noord-Brabant,1149,136,79
2020-10-05 10:00:00,GM0797,Heusden,Noord-Brabant,311,45,25
2020-10-05 10:00:00,GM0798,Hilvarenbeek,Noord-Brabant,126,10,7
2020-10-05 10:00:00,GM0809,Loon op Zand,Noord-Brabant,157,27,7
2020-10-05 10:00:00,GM0815,Mill en Sint Hubert,Noord-Brabant,85,9,5
2020-10-05 10:00:00,GM0820,"Nuenen, Gerwen en Nederwetten",Noord-Brabant,150,18,9
2020-10-05 10:00:00,GM0823,Oirschot,Noord-Brabant,142,13,9
2020-10-05 10:00:00,GM0824,Oisterwijk,Noord-Brabant,149,24,11
2020-10-05 10:00:00,GM0826,Oosterhout,Noord-Brabant,348,50,17
2020-10-05 10:00:00,GM0828,Oss,Noord-Brabant,991,169,88
2020-10-05 10:00:00,GM0840,Rucphen,Noord-Brabant,158,10,10
2020-10-05 10:00:00,GM0845,Sint-Michielsgestel,Noord-Brabant,245,36,19
2020-10-05 10:00:00,GM0847,Someren,Noord-Brabant,129,33,8
2020-10-05 10:00:00,GM0848,Son en Breugel,Noord-Brabant,108,31,14
2020-10-05 10:00:00,GM0851,Steenbergen,Noord-Brabant,162,13,13
2020-10-05 10:00:00,GM0852,Waterland,Noord-Holland,116,16,4
2020-10-05 10:00:00,GM0855,Tilburg,Noord-Brabant,1936,257,168
2020-10-05 10:00:00,GM0856,Uden,Noord-Brabant,355,115,63
2020-10-05 10:00:00,GM0858,Valkenswaard,Noord-Brabant,277,19,37
2020-10-05 10:00:00,GM0861,Veldhoven,Noord-Brabant,301,31,16
2020-10-05 10:00:00,GM0865,Vught,Noord-Brabant,186,43,17
2020-10-05 10:00:00,GM0866,Waalre,Noord-Brabant,98,7,5
