Gemeentecode,Opgenomen,Gemeente,Provinciecode,Provincie,Datum
824,16,Oisterwijk,30,Noord-Brabant,2020-04-09
1895,1,Oldambt,20,Groningen,2020-04-09
269,18,Oldebroek,25,Gelderland,2020-04-09
173,13,Oldenzaal,23,Overijssel,2020-04-09
1773,9,Olst-Wijhe,23,Overijssel,2020-04-09
175,7,Ommen,23,Overijssel,2020-04-09
1586,4,Oost Gelre,25,Gelderland,2020-04-09
826,29,Oosterhout,30,Noord-Brabant,2020-04-09
85,1,Ooststellingwerf,21,Friesland,2020-04-09
431,8,Oostzaan,27,Noord-Holland,2020-04-09
432,1,Opmeer,27,Noord-Holland,2020-04-09
86,5,Opsterland,21,Friesland,2020-04-09
828,108,Oss,30,Noord-Brabant,2020-04-09
1509,6,Oude IJsselstreek,25,Gelderland,2020-04-09
437,4,Ouder-Amstel,27,Noord-Holland,2020-04-09
589,20,Oudewater,26,Utrecht,2020-04-09
1734,49,Overbetuwe,25,Gelderland,2020-04-09
590,5,Papendrecht,28,Zuid-Holland,2020-04-09
1894,129,Peel en Maas,31,Limburg,2020-04-09
765,4,Pekela,20,Groningen,2020-04-09
1926,15,Pijnacker-Nootdorp,28,Zuid-Holland,2020-04-09
439,54,Purmerend,27,Noord-Holland,2020-04-09
273,3,Putten,25,Gelderland,2020-04-09
177,20,Raalte,23,Overijssel,2020-04-09
703,4,Reimerswaal,29,Zeeland,2020-04-09
274,13,Renkum,25,Gelderland,2020-04-09
339,4,Renswoude,26,Utrecht,2020-04-09
1667,7,Reusel-De Mierden,30,Noord-Brabant,2020-04-09
275,29,Rheden,25,Gelderland,2020-04-09
340,3,Rhenen,26,Utrecht,2020-04-09
597,28,Ridderkerk,28,Zuid-Holland,2020-04-09
1742,19,Rijssen-Holten,23,Overijssel,2020-04-09
603,15,Rijswijk,28,Zuid-Holland,2020-04-09
1669,24,Roerdalen,31,Limburg,2020-04-09
957,42,Roermond,31,Limburg,2020-04-09
1674,15,Roosendaal,30,Noord-Brabant,2020-04-09
599,239,Rotterdam,28,Zuid-Holland,2020-04-09
277,1,Rozendaal,25,Gelderland,2020-04-09
840,6,Rucphen,30,Noord-Brabant,2020-04-09
518,167,'s-Gravenhage,28,Zuid-Holland,2020-04-09
441,14,Schagen,27,Noord-Holland,2020-04-09
279,2,Scherpenzeel,25,Gelderland,2020-04-09
606,30,Schiedam,28,Zuid-Holland,2020-04-09
88,0,Schiermonnikoog,21,Friesland,2020-04-09
1676,9,Schouwen-Duiveland,29,Zeeland,2020-04-09
965,16,Simpelveld,31,Limburg,2020-04-09
1702,17,Sint Anthonis,30,Noord-Brabant,2020-04-09
845,21,Sint-Michielsgestel,30,Noord-Brabant,2020-04-09
1883,81,Sittard-Geleen,31,Limburg,2020-04-09
610,6,Sliedrecht,28,Zuid-Holland,2020-04-09
1714,6,Sluis,29,Zeeland,2020-04-09
90,6,Smallingerland,21,Friesland,2020-04-09
342,17,Soest,26,Utrecht,2020-04-09
847,20,Someren,30,Noord-Brabant,2020-04-09
848,23,Son en Breugel,30,Noord-Brabant,2020-04-09
37,1,Stadskanaal,20,Groningen,2020-04-09
180,4,Staphorst,23,Overijssel,2020-04-09
532,15,Stede Broec,27,Noord-Holland,2020-04-09
851,9,Steenbergen,30,Noord-Brabant,2020-04-09
1708,10,Steenwijkerland,23,Overijssel,2020-04-09
971,35,Stein,31,Limburg,2020-04-09
1904,25,Stichtse Vecht,26,Utrecht,2020-04-09
1900,14,Súdwest-Fryslân,21,Friesland,2020-04-09
715,17,Terneuzen,29,Zeeland,2020-04-09
93,0,Terschelling,21,Friesland,2020-04-09
448,3,Texel,27,Noord-Holland,2020-04-09
1525,11,Teylingen,28,Zuid-Holland,2020-04-09
716,33,Tholen,29,Zeeland,2020-04-09
281,31,Tiel,25,Gelderland,2020-04-09
855,153,Tilburg,30,Noord-Brabant,2020-04-09
183,10,Tubbergen,23,Overijssel,2020-04-09
1700,8,Twenterand,23,Overijssel,2020-04-09
1730,7,Tynaarlo,22,Drenthe,2020-04-09
737,4,Tytsjerksteradiel,21,Friesland,2020-04-09
856,86,Uden,30,Noord-Brabant,2020-04-09
450,3,Uitgeest,27,Noord-Holland,2020-04-09
451,12,Uithoorn,27,Noord-Holland,2020-04-09
184,18,Urk,24,Flevoland,2020-04-09
344,143,Utrecht,26,Utrecht,2020-04-09
1581,19,Utrechtse Heuvelrug,26,Utrecht,2020-04-09
981,8,Vaals,31,Limburg,2020-04-09
994,13,Valkenburg aan de Geul,31,Limburg,2020-04-09
858,10,Valkenswaard,30,Noord-Brabant,2020-04-09
47,1,Veendam,20,Groningen,2020-04-09
345,24,Veenendaal,26,Utrecht,2020-04-09
717,4,Veere,29,Zeeland,2020-04-09
861,18,Veldhoven,30,Noord-Brabant,2020-04-09
