Gemeentecode,Aantal,Gemeente,Provinciecode,Provincie,Datum
736,2,De Ronde Venen,26,Utrecht,2020-03-19
1690,1,De Wolden,22,Drenthe,2020-03-19
503,5,Delft,28,Zuid-Holland,2020-03-19
10,0,Delfzijl,20,Groningen,2020-03-19
400,2,Den Helder,27,Noord-Holland,2020-03-19
762,10,Deurne,30,Noord-Brabant,2020-03-19
150,5,Deventer,23,Overijssel,2020-03-19
384,2,Diemen,27,Noord-Holland,2020-03-19
1774,8,Dinkelland,23,Overijssel,2020-03-19
221,1,Doesburg,25,Gelderland,2020-03-19
222,3,Doetinchem,25,Gelderland,2020-03-19
766,5,Dongen,30,Noord-Brabant,2020-03-19
505,8,Dordrecht,28,Zuid-Holland,2020-03-19
498,0,Drechterland,27,Noord-Holland,2020-03-19
1719,13,Drimmelen,30,Noord-Brabant,2020-03-19
303,9,Dronten,24,Flevoland,2020-03-19
225,5,Druten,25,Gelderland,2020-03-19
226,2,Duiven,25,Gelderland,2020-03-19
1711,6,Echt-Susteren,31,Limburg,2020-03-19
385,3,Edam-Volendam,27,Noord-Holland,2020-03-19
228,5,Ede,25,Gelderland,2020-03-19
317,1,Eemnes,26,Utrecht,2020-03-19
770,4,Eersel,30,Noord-Brabant,2020-03-19
1903,4,Eijsden-Margraten,31,Limburg,2020-03-19
772,24,Eindhoven,30,Noord-Brabant,2020-03-19
230,1,Elburg,25,Gelderland,2020-03-19
114,3,Emmen,22,Drenthe,2020-03-19
388,5,Enkhuizen,27,Noord-Holland,2020-03-19
153,7,Enschede,23,Overijssel,2020-03-19
232,4,Epe,25,Gelderland,2020-03-19
233,8,Ermelo,25,Gelderland,2020-03-19
777,14,Etten-Leur,30,Noord-Brabant,2020-03-19
779,7,Geertruidenberg,30,Noord-Brabant,2020-03-19
1771,4,Geldrop-Mierlo,30,Noord-Brabant,2020-03-19
1652,31,Gemert-Bakel,30,Noord-Brabant,2020-03-19
907,4,Gennep,31,Limburg,2020-03-19
784,5,Gilze en Rijen,30,Noord-Brabant,2020-03-19
1924,8,Goeree-Overflakkee,28,Zuid-Holland,2020-03-19
664,3,Goes,29,Zeeland,2020-03-19
785,11,Goirle,30,Noord-Brabant,2020-03-19
1942,10,Gooise Meren,27,Noord-Holland,2020-03-19
512,1,Gorinchem,28,Zuid-Holland,2020-03-19
513,9,Gouda,28,Zuid-Holland,2020-03-19
786,2,Grave,30,Noord-Brabant,2020-03-19
14,23,Groningen,20,Groningen,2020-03-19
1729,2,Gulpen-Wittem,31,Limburg,2020-03-19
158,1,Haaksbergen,23,Overijssel,2020-03-19
788,9,Haaren,30,Noord-Brabant,2020-03-19
392,10,Haarlem,27,Noord-Holland,2020-03-19
394,5,Haarlemmermeer,27,Noord-Holland,2020-03-19
1655,2,Halderberge,30,Noord-Brabant,2020-03-19
160,0,Hardenberg,23,Overijssel,2020-03-19
243,5,Harderwijk,25,Gelderland,2020-03-19
523,5,Hardinxveld-Giessendam,28,Zuid-Holland,2020-03-19
72,1,Harlingen,21,Friesland,2020-03-19
244,0,Hattem,25,Gelderland,2020-03-19
396,3,Heemskerk,27,Noord-Holland,2020-03-19
397,5,Heemstede,27,Noord-Holland,2020-03-19
246,4,Heerde,25,Gelderland,2020-03-19
74,0,Heerenveen,21,Friesland,2020-03-19
398,2,Heerhugowaard,27,Noord-Holland,2020-03-19
917,15,Heerlen,31,Limburg,2020-03-19
1658,4,Heeze-Leende,30,Noord-Brabant,2020-03-19
399,3,Heiloo,27,Noord-Holland,2020-03-19
163,2,Hellendoorn,23,Overijssel,2020-03-19
530,1,Hellevoetsluis,28,Zuid-Holland,2020-03-19
794,22,Helmond,30,Noord-Brabant,2020-03-19
531,0,Hendrik-Ido-Ambacht,28,Zuid-Holland,2020-03-19
164,4,Hengelo,23,Overijssel,2020-03-19
1966,0,Het Hogeland,20,Groningen,2020-03-19
252,6,Heumen,25,Gelderland,2020-03-19
797,6,Heusden,30,Noord-Brabant,2020-03-19
534,1,Hillegom,28,Zuid-Holland,2020-03-19
798,4,Hilvarenbeek,30,Noord-Brabant,2020-03-19
402,3,Hilversum,27,Noord-Holland,2020-03-19
1963,12,Hoeksche Waard,28,Zuid-Holland,2020-03-19
1735,3,Hof van Twente,23,Overijssel,2020-03-19
1911,3,Hollands Kroon,27,Noord-Holland,2020-03-19
118,3,Hoogeveen,22,Drenthe,2020-03-19
405,2,Hoorn,27,Noord-Holland,2020-03-19
1507,10,Horst aan de Maas,31,Limburg,2020-03-19
321,17,Houten,26,Utrecht,2020-03-19
406,3,Huizen,27,Noord-Holland,2020-03-19
677,0,Hulst,29,Zeeland,2020-03-19
353,8,IJsselstein,26,Utrecht,2020-03-19
1884,1,Kaag en Braassem,28,Zuid-Holland,2020-03-19
166,2,Kampen,23,Overijssel,2020-03-19
678,2,Kapelle,29,Zeeland,2020-03-19
537,2,Katwijk,28,Zuid-Holland,2020-03-19
928,3,Kerkrade,31,Limburg,2020-03-19
1598,1,Koggenland,27,Noord-Holland,2020-03-19
542,2,Krimpen aan den IJssel,28,Zuid-Holland,2020-03-19
1931,5,Krimpenerwaard,28,Zuid-Holland,2020-03-19
1659,4,Laarbeek,30,Noord-Brabant,2020-03-19
1685,18,Landerd,30,Noord-Brabant,2020-03-19
882,7,Landgraaf,31,Limburg,2020-03-19
415,3,Landsmeer,27,Noord-Holland,2020-03-19
416,4,Langedijk,27,Noord-Holland,2020-03-19
1621,13,Lansingerland,28,Zuid-Holland,2020-03-19
417,0,Laren,27,Noord-Holland,2020-03-19
80,5,Leeuwarden,21,Friesland,2020-03-19
546,12,Leiden,28,Zuid-Holland,2020-03-19
547,2,Leiderdorp,28,Zuid-Holland,2020-03-19
1916,6,Leidschendam-Voorburg,28,Zuid-Holland,2020-03-19
995,13,Lelystad,24,Flevoland,2020-03-19
1640,13,Leudal,31,Limburg,2020-03-19
327,4,Leusden,26,Utrecht,2020-03-19
1705,5,Lingewaard,25,Gelderland,2020-03-19
553,0,Lisse,28,Zuid-Holland,2020-03-19
262,1,Lochem,25,Gelderland,2020-03-19
809,11,Loon op Zand,30,Noord-Brabant,2020-03-19
331,3,Lopik,26,Utrecht,2020-03-19
24,0,Loppersum,20,Groningen,2020-03-19
168,0,Losser,23,Overijssel,2020-03-19
263,1,Maasdriel,25,Gelderland,2020-03-19
1641,5,Maasgouw,31,Limburg,2020-03-19
556,2,Maassluis,28,Zuid-Holland,2020-03-19
935,42,Maastricht,31,Limburg,2020-03-19
420,0,Medemblik,27,Noord-Holland,2020-03-19
938,2,Meerssen,31,Limburg,2020-03-19
1948,72,Meierijstad,30,Noord-Brabant,2020-03-19
119,0,Meppel,22,Drenthe,2020-03-19
687,3,Middelburg,29,Zeeland,2020-03-19
1842,1,Midden-Delfland,28,Zuid-Holland,2020-03-19
1731,1,Midden-Drenthe,22,Drenthe,2020-03-19
1952,2,Midden-Groningen,20,Groningen,2020-03-19
815,2,Mill en Sint Hubert,30,Noord-Brabant,2020-03-19
1709,2,Moerdijk,30,Noord-Brabant,2020-03-19
1978,9,Molenlanden,28,Zuid-Holland,2020-03-19
1955,1,Montferland,25,Gelderland,2020-03-19
335,0,Montfoort,26,Utrecht,2020-03-19
944,1,Mook en Middelaar,31,Limburg,2020-03-19
1740,4,Neder-Betuwe,25,Gelderland,2020-03-19
946,7,Nederweert,31,Limburg,2020-03-19
356,6,Nieuwegein,26,Utrecht,2020-03-19
569,1,Nieuwkoop,28,Zuid-Holland,2020-03-19
267,2,Nijkerk,25,Gelderland,2020-03-19
268,48,Nijmegen,25,Gelderland,2020-03-19
1930,7,Nissewaard,28,Zuid-Holland,2020-03-19
1970,1,Noardeast-Fryslân,21,Friesland,2020-03-19
1695,0,Noord-Beveland,29,Zeeland,2020-03-19
1699,1,Noordenveld,22,Drenthe,2020-03-19
171,2,Noordoostpolder,24,Flevoland,2020-03-19
575,3,Noordwijk,28,Zuid-Holland,2020-03-19
820,1,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant,2020-03-19
302,3,Nunspeet,25,Gelderland,2020-03-19
579,5,Oegstgeest,28,Zuid-Holland,2020-03-19
823,1,Oirschot,30,Noord-Brabant,2020-03-19
824,10,Oisterwijk,30,Noord-Brabant,2020-03-19
1895,0,Oldambt,20,Groningen,2020-03-19
269,5,Oldebroek,25,Gelderland,2020-03-19
173,3,Oldenzaal,23,Overijssel,2020-03-19
1773,0,Olst-Wijhe,23,Overijssel,2020-03-19
175,2,Ommen,23,Overijssel,2020-03-19
1586,0,Oost Gelre,25,Gelderland,2020-03-19
826,9,Oosterhout,30,Noord-Brabant,2020-03-19
85,0,Ooststellingwerf,21,Friesland,2020-03-19
431,2,Oostzaan,27,Noord-Holland,2020-03-19
432,0,Opmeer,27,Noord-Holland,2020-03-19
86,2,Opsterland,21,Friesland,2020-03-19
828,26,Oss,30,Noord-Brabant,2020-03-19
1509,2,Oude IJsselstreek,25,Gelderland,2020-03-19
437,3,Ouder-Amstel,27,Noord-Holland,2020-03-19
589,2,Oudewater,26,Utrecht,2020-03-19
1734,11,Overbetuwe,25,Gelderland,2020-03-19
590,1,Papendrecht,28,Zuid-Holland,2020-03-19
1894,41,Peel en Maas,31,Limburg,2020-03-19
765,1,Pekela,20,Groningen,2020-03-19
1926,11,Pijnacker-Nootdorp,28,Zuid-Holland,2020-03-19
439,7,Purmerend,27,Noord-Holland,2020-03-19
273,2,Putten,25,Gelderland,2020-03-19
177,3,Raalte,23,Overijssel,2020-03-19
703,4,Reimerswaal,29,Zeeland,2020-03-19
274,8,Renkum,25,Gelderland,2020-03-19
339,0,Renswoude,26,Utrecht,2020-03-19
1667,0,Reusel-De Mierden,30,Noord-Brabant,2020-03-19
275,4,Rheden,25,Gelderland,2020-03-19
340,0,Rhenen,26,Utrecht,2020-03-19
597,1,Ridderkerk,28,Zuid-Holland,2020-03-19
1742,0,Rijssen-Holten,23,Overijssel,2020-03-19
603,3,Rijswijk,28,Zuid-Holland,2020-03-19
1669,1,Roerdalen,31,Limburg,2020-03-19
957,13,Roermond,31,Limburg,2020-03-19
1674,7,Roosendaal,30,Noord-Brabant,2020-03-19
599,81,Rotterdam,28,Zuid-Holland,2020-03-19
277,2,Rozendaal,25,Gelderland,2020-03-19
840,2,Rucphen,30,Noord-Brabant,2020-03-19
441,6,Schagen,27,Noord-Holland,2020-03-19
279,0,Scherpenzeel,25,Gelderland,2020-03-19
606,2,Schiedam,28,Zuid-Holland,2020-03-19
88,0,Schiermonnikoog,21,Friesland,2020-03-19
1676,2,Schouwen-Duiveland,29,Zeeland,2020-03-19
965,5,Simpelveld,31,Limburg,2020-03-19
1702,8,Sint Anthonis,30,Noord-Brabant,2020-03-19
845,10,Sint-Michielsgestel,30,Noord-Brabant,2020-03-19
1883,51,Sittard-Geleen,31,Limburg,2020-03-19
610,1,Sliedrecht,28,Zuid-Holland,2020-03-19
1714,2,Sluis,29,Zeeland,2020-03-19
90,3,Smallingerland,21,Friesland,2020-03-19
342,13,Soest,26,Utrecht,2020-03-19
847,3,Someren,30,Noord-Brabant,2020-03-19
848,5,Son en Breugel,30,Noord-Brabant,2020-03-19
37,0,Stadskanaal,20,Groningen,2020-03-19
180,2,Staphorst,23,Overijssel,2020-03-19
532,3,Stede Broec,27,Noord-Holland,2020-03-19
851,4,Steenbergen,30,Noord-Brabant,2020-03-19
1708,1,Steenwijkerland,23,Overijssel,2020-03-19
971,4,Stein,31,Limburg,2020-03-19
1904,10,Stichtse Vecht,26,Utrecht,2020-03-19
1900,2,Súdwest-Fryslân,21,Friesland,2020-03-19
715,4,Terneuzen,29,Zeeland,2020-03-19
93,0,Terschelling,21,Friesland,2020-03-19
448,2,Texel,27,Noord-Holland,2020-03-19
1525,2,Teylingen,28,Zuid-Holland,2020-03-19
716,2,Tholen,29,Zeeland,2020-03-19
281,4,Tiel,25,Gelderland,2020-03-19
855,119,Tilburg,30,Noord-Brabant,2020-03-19
183,3,Tubbergen,23,Overijssel,2020-03-19
1700,0,Twenterand,23,Overijssel,2020-03-19
1730,4,Tynaarlo,22,Drenthe,2020-03-19
737,1,Tytsjerksteradiel,21,Friesland,2020-03-19
856,60,Uden,30,Noord-Brabant,2020-03-19
450,0,Uitgeest,27,Noord-Holland,2020-03-19
451,2,Uithoorn,27,Noord-Holland,2020-03-19
184,4,Urk,24,Flevoland,2020-03-19
344,83,Utrecht,26,Utrecht,2020-03-19
1581,8,Utrechtse Heuvelrug,26,Utrecht,2020-03-19
981,0,Vaals,31,Limburg,2020-03-19
994,2,Valkenburg aan de Geul,31,Limburg,2020-03-19
858,1,Valkenswaard,30,Noord-Brabant,2020-03-19
47,0,Veendam,20,Groningen,2020-03-19
345,2,Veenendaal,26,Utrecht,2020-03-19
717,1,Veere,29,Zeeland,2020-03-19
861,2,Veldhoven,30,Noord-Brabant,2020-03-19
453,4,Velsen,27,Noord-Holland,2020-03-19
983,21,Venlo,31,Limburg,2020-03-19
984,3,Venray,31,Limburg,2020-03-19
1961,7,Vijfheerenlanden,26,Utrecht,2020-03-19
622,4,Vlaardingen,28,Zuid-Holland,2020-03-19
96,0,Vlieland,21,Friesland,2020-03-19
718,5,Vlissingen,29,Zeeland,2020-03-19
986,3,Voerendaal,31,Limburg,2020-03-19
626,1,Voorschoten,28,Zuid-Holland,2020-03-19
285,1,Voorst,25,Gelderland,2020-03-19
865,8,Vught,30,Noord-Brabant,2020-03-19
1949,0,Waadhoeke,21,Friesland,2020-03-19
866,2,Waalre,30,Noord-Brabant,2020-03-19
867,13,Waalwijk,30,Noord-Brabant,2020-03-19
627,3,Waddinxveen,28,Zuid-Holland,2020-03-19
289,1,Wageningen,25,Gelderland,2020-03-19
629,4,Wassenaar,28,Zuid-Holland,2020-03-19
852,7,Waterland,27,Noord-Holland,2020-03-19
988,0,Weert,31,Limburg,2020-03-19
457,0,Weesp,27,Noord-Holland,2020-03-19
1960,8,West Betuwe,25,Gelderland,2020-03-19
668,3,West Maas en Waal,25,Gelderland,2020-03-19
1969,3,Westerkwartier,20,Groningen,2020-03-19
1701,0,Westerveld,22,Drenthe,2020-03-19
293,0,Westervoort,25,Gelderland,2020-03-19
1950,0,Westerwolde,20,Groningen,2020-03-19
1783,7,Westland,28,Zuid-Holland,2020-03-19
98,0,Weststellingwerf,21,Friesland,2020-03-19
614,3,Westvoorne,28,Zuid-Holland,2020-03-19
189,0,Wierden,23,Overijssel,2020-03-19
296,8,Wijchen,25,Gelderland,2020-03-19
1696,1,Wijdemeren,27,Noord-Holland,2020-03-19
352,4,Wijk bij Duurstede,26,Utrecht,2020-03-19
294,0,Winterswijk,25,Gelderland,2020-03-19
873,0,Woensdrecht,30,Noord-Brabant,2020-03-19
632,4,Woerden,26,Utrecht,2020-03-19
880,1,Wormerland,27,Noord-Holland,2020-03-19
351,2,Woudenberg,26,Utrecht,2020-03-19
479,4,Zaanstad,27,Noord-Holland,2020-03-19
297,3,Zaltbommel,25,Gelderland,2020-03-19
473,1,Zandvoort,27,Noord-Holland,2020-03-19
50,3,Zeewolde,24,Flevoland,2020-03-19
355,12,Zeist,26,Utrecht,2020-03-19
299,3,Zevenaar,25,Gelderland,2020-03-19
637,1,Zoetermeer,28,Zuid-Holland,2020-03-19
638,0,Zoeterwoude,28,Zuid-Holland,2020-03-19
1892,0,Zuidplas,28,Zuid-Holland,2020-03-19
879,6,Zundert,30,Noord-Brabant,2020-03-19
301,1,Zutphen,25,Gelderland,2020-03-19
1896,5,Zwartewaterland,23,Overijssel,2020-03-19
642,6,Zwijndrecht,28,Zuid-Holland,2020-03-19
193,16,Zwolle,23,Overijssel,2020-03-19
