Gemeentecode,Aantal,Gemeente,Provinciecode,Provincie,Datum
944,0,Mook en Middelaar,31,Limburg,2020-03-01
1740,0,Neder-Betuwe,25,Gelderland,2020-03-01
946,0,Nederweert,31,Limburg,2020-03-01
356,0,Nieuwegein,26,Utrecht,2020-03-01
569,0,Nieuwkoop,28,Zuid-Holland,2020-03-01
267,0,Nijkerk,25,Gelderland,2020-03-01
268,0,Nijmegen,25,Gelderland,2020-03-01
1930,0,Nissewaard,28,Zuid-Holland,2020-03-01
1970,0,Noardeast-Fryslân,21,Friesland,2020-03-01
1695,0,Noord-Beveland,29,Zeeland,2020-03-01
1699,0,Noordenveld,22,Drenthe,2020-03-01
171,0,Noordoostpolder,24,Flevoland,2020-03-01
575,0,Noordwijk,28,Zuid-Holland,2020-03-01
820,0,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant,2020-03-01
302,0,Nunspeet,25,Gelderland,2020-03-01
579,0,Oegstgeest,28,Zuid-Holland,2020-03-01
823,0,Oirschot,30,Noord-Brabant,2020-03-01
824,0,Oisterwijk,30,Noord-Brabant,2020-03-01
1895,0,Oldambt,20,Groningen,2020-03-01
269,0,Oldebroek,25,Gelderland,2020-03-01
173,0,Oldenzaal,23,Overijssel,2020-03-01
1773,0,Olst-Wijhe,23,Overijssel,2020-03-01
175,0,Ommen,23,Overijssel,2020-03-01
1586,0,Oost Gelre,25,Gelderland,2020-03-01
826,0,Oosterhout,30,Noord-Brabant,2020-03-01
85,0,Ooststellingwerf,21,Friesland,2020-03-01
431,0,Oostzaan,27,Noord-Holland,2020-03-01
432,0,Opmeer,27,Noord-Holland,2020-03-01
86,0,Opsterland,21,Friesland,2020-03-01
828,0,Oss,30,Noord-Brabant,2020-03-01
1509,0,Oude IJsselstreek,25,Gelderland,2020-03-01
437,0,Ouder-Amstel,27,Noord-Holland,2020-03-01
589,0,Oudewater,26,Utrecht,2020-03-01
1734,0,Overbetuwe,25,Gelderland,2020-03-01
590,0,Papendrecht,28,Zuid-Holland,2020-03-01
1894,0,Peel en Maas,31,Limburg,2020-03-01
765,0,Pekela,20,Groningen,2020-03-01
1926,0,Pijnacker-Nootdorp,28,Zuid-Holland,2020-03-01
439,0,Purmerend,27,Noord-Holland,2020-03-01
273,0,Putten,25,Gelderland,2020-03-01
177,0,Raalte,23,Overijssel,2020-03-01
703,0,Reimerswaal,29,Zeeland,2020-03-01
274,0,Renkum,25,Gelderland,2020-03-01
339,0,Renswoude,26,Utrecht,2020-03-01
1667,0,Reusel-De Mierden,30,Noord-Brabant,2020-03-01
275,0,Rheden,25,Gelderland,2020-03-01
340,0,Rhenen,26,Utrecht,2020-03-01
597,0,Ridderkerk,28,Zuid-Holland,2020-03-01
1742,0,Rijssen-Holten,23,Overijssel,2020-03-01
603,0,Rijswijk,28,Zuid-Holland,2020-03-01
1669,0,Roerdalen,31,Limburg,2020-03-01
957,0,Roermond,31,Limburg,2020-03-01
1674,0,Roosendaal,30,Noord-Brabant,2020-03-01
599,0,Rotterdam,28,Zuid-Holland,2020-03-01
277,0,Rozendaal,25,Gelderland,2020-03-01
840,0,Rucphen,30,Noord-Brabant,2020-03-01
441,0,Schagen,27,Noord-Holland,2020-03-01
279,0,Scherpenzeel,25,Gelderland,2020-03-01
606,0,Schiedam,28,Zuid-Holland,2020-03-01
88,0,Schiermonnikoog,21,Friesland,2020-03-01
1676,0,Schouwen-Duiveland,29,Zeeland,2020-03-01
518,0,'s-Gravenhage,28,Zuid-Holland,2020-03-01
796,0,'s-Hertogenbosch,30,Noord-Brabant,2020-03-01
965,0,Simpelveld,31,Limburg,2020-03-01
1702,0,Sint Anthonis,30,Noord-Brabant,2020-03-01
845,0,Sint-Michielsgestel,30,Noord-Brabant,2020-03-01
1883,0,Sittard-Geleen,31,Limburg,2020-03-01
610,0,Sliedrecht,28,Zuid-Holland,2020-03-01
1714,0,Sluis,29,Zeeland,2020-03-01
90,0,Smallingerland,21,Friesland,2020-03-01
342,0,Soest,26,Utrecht,2020-03-01
847,0,Someren,30,Noord-Brabant,2020-03-01
848,0,Son en Breugel,30,Noord-Brabant,2020-03-01
37,0,Stadskanaal,20,Groningen,2020-03-01
180,0,Staphorst,23,Overijssel,2020-03-01
532,0,Stede Broec,27,Noord-Holland,2020-03-01
851,0,Steenbergen,30,Noord-Brabant,2020-03-01
1708,0,Steenwijkerland,23,Overijssel,2020-03-01
971,0,Stein,31,Limburg,2020-03-01
1904,0,Stichtse Vecht,26,Utrecht,2020-03-01
1900,0,Súdwest-Fryslân,21,Friesland,2020-03-01
715,0,Terneuzen,29,Zeeland,2020-03-01
93,0,Terschelling,21,Friesland,2020-03-01
448,0,Texel,27,Noord-Holland,2020-03-01
1525,0,Teylingen,28,Zuid-Holland,2020-03-01
716,0,Tholen,29,Zeeland,2020-03-01
281,0,Tiel,25,Gelderland,2020-03-01
855,4,Tilburg,30,Noord-Brabant,2020-03-01
183,0,Tubbergen,23,Overijssel,2020-03-01
1700,0,Twenterand,23,Overijssel,2020-03-01
1730,0,Tynaarlo,22,Drenthe,2020-03-01
737,0,Tytsjerksteradiel,21,Friesland,2020-03-01
856,0,Uden,30,Noord-Brabant,2020-03-01
450,0,Uitgeest,27,Noord-Holland,2020-03-01
451,0,Uithoorn,27,Noord-Holland,2020-03-01
184,0,Urk,24,Flevoland,2020-03-01
344,0,Utrecht,26,Utrecht,2020-03-01
1581,0,Utrechtse Heuvelrug,26,Utrecht,2020-03-01
981,0,Vaals,31,Limburg,2020-03-01
994,0,Valkenburg aan de Geul,31,Limburg,2020-03-01
858,0,Valkenswaard,30,Noord-Brabant,2020-03-01
47,0,Veendam,20,Groningen,2020-03-01
345,0,Veenendaal,26,Utrecht,2020-03-01
717,0,Veere,29,Zeeland,2020-03-01
861,0,Veldhoven,30,Noord-Brabant,2020-03-01
453,0,Velsen,27,Noord-Holland,2020-03-01
983,0,Venlo,31,Limburg,2020-03-01
984,0,Venray,31,Limburg,2020-03-01
1961,0,Vijfheerenlanden,26,Utrecht,2020-03-01
622,0,Vlaardingen,28,Zuid-Holland,2020-03-01
96,0,Vlieland,21,Friesland,2020-03-01
718,0,Vlissingen,29,Zeeland,2020-03-01
986,0,Voerendaal,31,Limburg,2020-03-01
626,0,Voorschoten,28,Zuid-Holland,2020-03-01
285,0,Voorst,25,Gelderland,2020-03-01
865,0,Vught,30,Noord-Brabant,2020-03-01
1949,0,Waadhoeke,21,Friesland,2020-03-01
866,0,Waalre,30,Noord-Brabant,2020-03-01
867,0,Waalwijk,30,Noord-Brabant,2020-03-01
627,0,Waddinxveen,28,Zuid-Holland,2020-03-01
289,0,Wageningen,25,Gelderland,2020-03-01
629,0,Wassenaar,28,Zuid-Holland,2020-03-01
852,0,Waterland,27,Noord-Holland,2020-03-01
988,0,Weert,31,Limburg,2020-03-01
457,0,Weesp,27,Noord-Holland,2020-03-01
1960,0,West Betuwe,25,Gelderland,2020-03-01
668,0,West Maas en Waal,25,Gelderland,2020-03-01
1969,0,Westerkwartier,20,Groningen,2020-03-01
1701,0,Westerveld,22,Drenthe,2020-03-01
293,0,Westervoort,25,Gelderland,2020-03-01
1950,0,Westerwolde,20,Groningen,2020-03-01
1783,0,Westland,28,Zuid-Holland,2020-03-01
98,0,Weststellingwerf,21,Friesland,2020-03-01
614,0,Westvoorne,28,Zuid-Holland,2020-03-01
189,0,Wierden,23,Overijssel,2020-03-01
296,0,Wijchen,25,Gelderland,2020-03-01
1696,0,Wijdemeren,27,Noord-Holland,2020-03-01
352,0,Wijk bij Duurstede,26,Utrecht,2020-03-01
294,0,Winterswijk,25,Gelderland,2020-03-01
873,0,Woensdrecht,30,Noord-Brabant,2020-03-01
632,0,Woerden,26,Utrecht,2020-03-01
880,0,Wormerland,27,Noord-Holland,2020-03-01
351,0,Woudenberg,26,Utrecht,2020-03-01
479,0,Zaanstad,27,Noord-Holland,2020-03-01
297,0,Zaltbommel,25,Gelderland,2020-03-01
473,0,Zandvoort,27,Noord-Holland,2020-03-01
50,0,Zeewolde,24,Flevoland,2020-03-01
355,0,Zeist,26,Utrecht,2020-03-01
299,0,Zevenaar,25,Gelderland,2020-03-01
637,0,Zoetermeer,28,Zuid-Holland,2020-03-01
638,0,Zoeterwoude,28,Zuid-Holland,2020-03-01
1892,0,Zuidplas,28,Zuid-Holland,2020-03-01
879,0,Zundert,30,Noord-Brabant,2020-03-01
301,0,Zutphen,25,Gelderland,2020-03-01
1896,0,Zwartewaterland,23,Overijssel,2020-03-01
642,0,Zwijndrecht,28,Zuid-Holland,2020-03-01
193,0,Zwolle,23,Overijssel,2020-03-01
