Gemeentecode,Aantal,Gemeente,Provinciecode,Provincie,Datum
1773,6,Olst-Wijhe,23,Overijssel,2020-04-02
175,6,Ommen,23,Overijssel,2020-04-02
1586,2,Oost Gelre,25,Gelderland,2020-04-02
826,25,Oosterhout,30,Noord-Brabant,2020-04-02
85,1,Ooststellingwerf,21,Friesland,2020-04-02
431,4,Oostzaan,27,Noord-Holland,2020-04-02
432,1,Opmeer,27,Noord-Holland,2020-04-02
86,4,Opsterland,21,Friesland,2020-04-02
828,86,Oss,30,Noord-Brabant,2020-04-02
1509,3,Oude IJsselstreek,25,Gelderland,2020-04-02
437,4,Ouder-Amstel,27,Noord-Holland,2020-04-02
589,16,Oudewater,26,Utrecht,2020-04-02
1734,39,Overbetuwe,25,Gelderland,2020-04-02
590,1,Papendrecht,28,Zuid-Holland,2020-04-02
1894,109,Peel en Maas,31,Limburg,2020-04-02
765,4,Pekela,20,Groningen,2020-04-02
1926,10,Pijnacker-Nootdorp,28,Zuid-Holland,2020-04-02
439,38,Purmerend,27,Noord-Holland,2020-04-02
273,1,Putten,25,Gelderland,2020-04-02
177,18,Raalte,23,Overijssel,2020-04-02
703,4,Reimerswaal,29,Zeeland,2020-04-02
274,11,Renkum,25,Gelderland,2020-04-02
339,1,Renswoude,26,Utrecht,2020-04-02
1667,5,Reusel-De Mierden,30,Noord-Brabant,2020-04-02
275,24,Rheden,25,Gelderland,2020-04-02
340,3,Rhenen,26,Utrecht,2020-04-02
597,23,Ridderkerk,28,Zuid-Holland,2020-04-02
1742,13,Rijssen-Holten,23,Overijssel,2020-04-02
603,13,Rijswijk,28,Zuid-Holland,2020-04-02
1669,17,Roerdalen,31,Limburg,2020-04-02
957,30,Roermond,31,Limburg,2020-04-02
1674,12,Roosendaal,30,Noord-Brabant,2020-04-02
599,151,Rotterdam,28,Zuid-Holland,2020-04-02
277,1,Rozendaal,25,Gelderland,2020-04-02
840,4,Rucphen,30,Noord-Brabant,2020-04-02
518,112,'s-Gravenhage,28,Zuid-Holland,2020-04-02
441,10,Schagen,27,Noord-Holland,2020-04-02
279,0,Scherpenzeel,25,Gelderland,2020-04-02
606,21,Schiedam,28,Zuid-Holland,2020-04-02
88,0,Schiermonnikoog,21,Friesland,2020-04-02
1676,7,Schouwen-Duiveland,29,Zeeland,2020-04-02
965,8,Simpelveld,31,Limburg,2020-04-02
