Gemeentecode,Aantal,Gemeente,Provinciecode,Provincie,Datum
216,2,Culemborg,25,Gelderland,2020-03-15
148,1,Dalfsen,23,Overijssel,2020-03-15
310,12,De Bilt,26,Utrecht,2020-03-15
1940,3,De Fryske Marren,21,Friesland,2020-03-15
1690,1,De Wolden,22,Drenthe,2020-03-15
503,2,Delft,28,Zuid-Holland,2020-03-15
400,1,Den Helder,27,Noord-Holland,2020-03-15
762,4,Deurne,30,Noord-Brabant,2020-03-15
150,1,Deventer,23,Overijssel,2020-03-15
384,2,Diemen,27,Noord-Holland,2020-03-15
1774,4,Dinkelland,23,Overijssel,2020-03-15
221,1,Doesburg,25,Gelderland,2020-03-15
766,5,Dongen,30,Noord-Brabant,2020-03-15
505,1,Dordrecht,28,Zuid-Holland,2020-03-15
1719,5,Drimmelen,30,Noord-Brabant,2020-03-15
303,6,Dronten,24,Flevoland,2020-03-15
225,5,Druten,25,Gelderland,2020-03-15
226,1,Duiven,25,Gelderland,2020-03-15
228,1,Ede,25,Gelderland,2020-03-15
770,2,Eersel,30,Noord-Brabant,2020-03-15
1903,3,Eijsden-Margraten,31,Limburg,2020-03-15
772,21,Eindhoven,30,Noord-Brabant,2020-03-15
230,1,Elburg,25,Gelderland,2020-03-15
114,1,Emmen,22,Drenthe,2020-03-15
153,3,Enschede,23,Overijssel,2020-03-15
233,7,Ermelo,25,Gelderland,2020-03-15
777,8,Etten-Leur,30,Noord-Brabant,2020-03-15
779,1,Geertruidenberg,30,Noord-Brabant,2020-03-15
1771,2,Geldrop-Mierlo,30,Noord-Brabant,2020-03-15
1652,16,Gemert-Bakel,30,Noord-Brabant,2020-03-15
907,1,Gennep,31,Limburg,2020-03-15
784,1,Gilze en Rijen,30,Noord-Brabant,2020-03-15
1924,2,Goeree-Overflakkee,28,Zuid-Holland,2020-03-15
664,2,Goes,29,Zeeland,2020-03-15
785,6,Goirle,30,Noord-Brabant,2020-03-15
1942,4,Gooise Meren,27,Noord-Holland,2020-03-15
513,3,Gouda,28,Zuid-Holland,2020-03-15
14,6,Groningen,20,Groningen,2020-03-15
1729,1,Gulpen-Wittem,31,Limburg,2020-03-15
158,1,Haaksbergen,23,Overijssel,2020-03-15
788,7,Haaren,30,Noord-Brabant,2020-03-15
392,4,Haarlem,27,Noord-Holland,2020-03-15
394,1,Haarlemmermeer,27,Noord-Holland,2020-03-15
243,2,Harderwijk,25,Gelderland,2020-03-15
523,5,Hardinxveld-Giessendam,28,Zuid-Holland,2020-03-15
396,1,Heemskerk,27,Noord-Holland,2020-03-15
397,2,Heemstede,27,Noord-Holland,2020-03-15
398,1,Heerhugowaard,27,Noord-Holland,2020-03-15
917,5,Heerlen,31,Limburg,2020-03-15
1658,1,Heeze-Leende,30,Noord-Brabant,2020-03-15
399,2,Heiloo,27,Noord-Holland,2020-03-15
163,2,Hellendoorn,23,Overijssel,2020-03-15
530,1,Hellevoetsluis,28,Zuid-Holland,2020-03-15
794,17,Helmond,30,Noord-Brabant,2020-03-15
252,2,Heumen,25,Gelderland,2020-03-15
797,4,Heusden,30,Noord-Brabant,2020-03-15
798,5,Hilvarenbeek,30,Noord-Brabant,2020-03-15
1963,2,Hoeksche Waard,28,Zuid-Holland,2020-03-15
1735,1,Hof van Twente,23,Overijssel,2020-03-15
118,2,Hoogeveen,22,Drenthe,2020-03-15
1507,3,Horst aan de Maas,31,Limburg,2020-03-15
321,13,Houten,26,Utrecht,2020-03-15
406,1,Huizen,27,Noord-Holland,2020-03-15
353,2,IJsselstein,26,Utrecht,2020-03-15
537,1,Katwijk,28,Zuid-Holland,2020-03-15
928,2,Kerkrade,31,Limburg,2020-03-15
1598,1,Koggenland,27,Noord-Holland,2020-03-15
542,1,Krimpen aan den IJssel,28,Zuid-Holland,2020-03-15
1931,4,Krimpenerwaard,28,Zuid-Holland,2020-03-15
1659,1,Laarbeek,30,Noord-Brabant,2020-03-15
1685,5,Landerd,30,Noord-Brabant,2020-03-15
882,4,Landgraaf,31,Limburg,2020-03-15
415,3,Landsmeer,27,Noord-Holland,2020-03-15
416,4,Langedijk,27,Noord-Holland,2020-03-15
1621,5,Lansingerland,28,Zuid-Holland,2020-03-15
80,1,Leeuwarden,21,Friesland,2020-03-15
546,4,Leiden,28,Zuid-Holland,2020-03-15
1916,3,Leidschendam-Voorburg,28,Zuid-Holland,2020-03-15
995,7,Lelystad,24,Flevoland,2020-03-15
1640,6,Leudal,31,Limburg,2020-03-15
1705,3,Lingewaard,25,Gelderland,2020-03-15
809,7,Loon op Zand,30,Noord-Brabant,2020-03-15
1641,2,Maasgouw,31,Limburg,2020-03-15
556,1,Maassluis,28,Zuid-Holland,2020-03-15
935,21,Maastricht,31,Limburg,2020-03-15
1948,34,Meierijstad,30,Noord-Brabant,2020-03-15
1952,1,Midden-Groningen,20,Groningen,2020-03-15
815,1,Mill en Sint Hubert,30,Noord-Brabant,2020-03-15
1709,1,Moerdijk,30,Noord-Brabant,2020-03-15
1978,1,Molenlanden,28,Zuid-Holland,2020-03-15
1740,4,Neder-Betuwe,25,Gelderland,2020-03-15
946,3,Nederweert,31,Limburg,2020-03-15
356,1,Nieuwegein,26,Utrecht,2020-03-15
569,1,Nieuwkoop,28,Zuid-Holland,2020-03-15
268,12,Nijmegen,25,Gelderland,2020-03-15
1930,1,Nissewaard,28,Zuid-Holland,2020-03-15
171,2,Noordoostpolder,24,Flevoland,2020-03-15
575,2,Noordwijk,28,Zuid-Holland,2020-03-15
820,1,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant,2020-03-15
302,1,Nunspeet,25,Gelderland,2020-03-15
579,4,Oegstgeest,28,Zuid-Holland,2020-03-15
824,6,Oisterwijk,30,Noord-Brabant,2020-03-15
269,1,Oldebroek,25,Gelderland,2020-03-15
173,1,Oldenzaal,23,Overijssel,2020-03-15
175,1,Ommen,23,Overijssel,2020-03-15
826,5,Oosterhout,30,Noord-Brabant,2020-03-15
86,2,Opsterland,21,Friesland,2020-03-15
828,5,Oss,30,Noord-Brabant,2020-03-15
589,1,Oudewater,26,Utrecht,2020-03-15
1734,6,Overbetuwe,25,Gelderland,2020-03-15
1894,14,Peel en Maas,31,Limburg,2020-03-15
765,1,Pekela,20,Groningen,2020-03-15
1926,7,Pijnacker-Nootdorp,28,Zuid-Holland,2020-03-15
439,2,Purmerend,27,Noord-Holland,2020-03-15
177,1,Raalte,23,Overijssel,2020-03-15
703,1,Reimerswaal,29,Zeeland,2020-03-15
274,8,Renkum,25,Gelderland,2020-03-15
275,1,Rheden,25,Gelderland,2020-03-15
597,1,Ridderkerk,28,Zuid-Holland,2020-03-15
957,2,Roermond,31,Limburg,2020-03-15
1674,5,Roosendaal,30,Noord-Brabant,2020-03-15
599,25,Rotterdam,28,Zuid-Holland,2020-03-15
277,1,Rozendaal,25,Gelderland,2020-03-15
840,1,Rucphen,30,Noord-Brabant,2020-03-15
441,4,Schagen,27,Noord-Holland,2020-03-15
606,1,Schiedam,28,Zuid-Holland,2020-03-15
1676,2,Schouwen-Duiveland,29,Zeeland,2020-03-15
518,10,'s-Gravenhage,28,Zuid-Holland,2020-03-15
796,14,'s-Hertogenbosch,30,Noord-Brabant,2020-03-15
965,3,Simpelveld,31,Limburg,2020-03-15
1702,2,Sint Anthonis,30,Noord-Brabant,2020-03-15
845,6,Sint-Michielsgestel,30,Noord-Brabant,2020-03-15
1883,37,Sittard-Geleen,31,Limburg,2020-03-15
1714,1,Sluis,29,Zeeland,2020-03-15
90,3,Smallingerland,21,Friesland,2020-03-15
342,8,Soest,26,Utrecht,2020-03-15
847,1,Someren,30,Noord-Brabant,2020-03-15
848,2,Son en Breugel,30,Noord-Brabant,2020-03-15
180,1,Staphorst,23,Overijssel,2020-03-15
851,1,Steenbergen,30,Noord-Brabant,2020-03-15
971,3,Stein,31,Limburg,2020-03-15
1904,7,Stichtse Vecht,26,Utrecht,2020-03-15
1900,1,Súdwest-Fryslân,21,Friesland,2020-03-15
715,1,Terneuzen,29,Zeeland,2020-03-15
716,1,Tholen,29,Zeeland,2020-03-15
281,3,Tiel,25,Gelderland,2020-03-15
855,68,Tilburg,30,Noord-Brabant,2020-03-15
183,1,Tubbergen,23,Overijssel,2020-03-15
856,33,Uden,30,Noord-Brabant,2020-03-15
344,38,Utrecht,26,Utrecht,2020-03-15
1581,2,Utrechtse Heuvelrug,26,Utrecht,2020-03-15
345,1,Veenendaal,26,Utrecht,2020-03-15
717,1,Veere,29,Zeeland,2020-03-15
861,1,Veldhoven,30,Noord-Brabant,2020-03-15
453,1,Velsen,27,Noord-Holland,2020-03-15
983,4,Venlo,31,Limburg,2020-03-15
1961,2,Vijfheerenlanden,26,Utrecht,2020-03-15
622,1,Vlaardingen,28,Zuid-Holland,2020-03-15
718,2,Vlissingen,29,Zeeland,2020-03-15
285,1,Voorst,25,Gelderland,2020-03-15
865,2,Vught,30,Noord-Brabant,2020-03-15
866,1,Waalre,30,Noord-Brabant,2020-03-15
867,8,Waalwijk,30,Noord-Brabant,2020-03-15
627,1,Waddinxveen,28,Zuid-Holland,2020-03-15
629,2,Wassenaar,28,Zuid-Holland,2020-03-15
852,2,Waterland,27,Noord-Holland,2020-03-15
1960,3,West Betuwe,25,Gelderland,2020-03-15
668,3,West Maas en Waal,25,Gelderland,2020-03-15
1969,1,Westerkwartier,20,Groningen,2020-03-15
1783,1,Westland,28,Zuid-Holland,2020-03-15
614,3,Westvoorne,28,Zuid-Holland,2020-03-15
296,4,Wijchen,25,Gelderland,2020-03-15
352,3,Wijk bij Duurstede,26,Utrecht,2020-03-15
632,2,Woerden,26,Utrecht,2020-03-15
351,1,Woudenberg,26,Utrecht,2020-03-15
479,2,Zaanstad,27,Noord-Holland,2020-03-15
297,1,Zaltbommel,25,Gelderland,2020-03-15
473,1,Zandvoort,27,Noord-Holland,2020-03-15
50,2,Zeewolde,24,Flevoland,2020-03-15
355,6,Zeist,26,Utrecht,2020-03-15
879,3,Zundert,30,Noord-Brabant,2020-03-15
1896,2,Zwartewaterland,23,Overijssel,2020-03-15
642,3,Zwijndrecht,28,Zuid-Holland,2020-03-15
193,4,Zwolle,23,Overijssel,2020-03-15
