Gemeentecode,Opgenomen,Gemeente,Provinciecode,Provincie,Datum
1883,20,Sittard-Geleen,31,Limburg,2020-03-12
90,1,Smallingerland,21,Friesland,2020-03-12
342,8,Soest,26,Utrecht,2020-03-12
848,1,Son en Breugel,30,Noord-Brabant,2020-03-12
971,1,Stein,31,Limburg,2020-03-12
1904,5,Stichtse Vecht,26,Utrecht,2020-03-12
1900,1,Súdwest-Fryslân,21,Friesland,2020-03-12
281,2,Tiel,25,Gelderland,2020-03-12
855,50,Tilburg,30,Noord-Brabant,2020-03-12
183,1,Tubbergen,23,Overijssel,2020-03-12
856,21,Uden,30,Noord-Brabant,2020-03-12
344,25,Utrecht,26,Utrecht,2020-03-12
1581,2,Utrechtse Heuvelrug,26,Utrecht,2020-03-12
345,1,Veenendaal,26,Utrecht,2020-03-12
717,1,Veere,29,Zeeland,2020-03-12
861,1,Veldhoven,30,Noord-Brabant,2020-03-12
453,1,Velsen,27,Noord-Holland,2020-03-12
983,2,Venlo,31,Limburg,2020-03-12
1961,1,Vijfheerenlanden,26,Utrecht,2020-03-12
622,1,Vlaardingen,28,Zuid-Holland,2020-03-12
718,2,Vlissingen,29,Zeeland,2020-03-12
285,1,Voorst,25,Gelderland,2020-03-12
865,2,Vught,30,Noord-Brabant,2020-03-12
866,1,Waalre,30,Noord-Brabant,2020-03-12
867,6,Waalwijk,30,Noord-Brabant,2020-03-12
627,1,Waddinxveen,28,Zuid-Holland,2020-03-12
852,1,Waterland,27,Noord-Holland,2020-03-12
1960,2,West Betuwe,25,Gelderland,2020-03-12
668,2,West Maas en Waal,25,Gelderland,2020-03-12
614,1,Westvoorne,28,Zuid-Holland,2020-03-12
296,2,Wijchen,25,Gelderland,2020-03-12
352,2,Wijk bij Duurstede,26,Utrecht,2020-03-12
632,2,Woerden,26,Utrecht,2020-03-12
351,1,Woudenberg,26,Utrecht,2020-03-12
479,2,Zaanstad,27,Noord-Holland,2020-03-12
297,1,Zaltbommel,25,Gelderland,2020-03-12
50,1,Zeewolde,24,Flevoland,2020-03-12
355,4,Zeist,26,Utrecht,2020-03-12
879,2,Zundert,30,Noord-Brabant,2020-03-12
193,2,Zwolle,23,Overijssel,2020-03-12
